participant,topic,system,normalized_gain,kgain,pre_acc,post_acc,article_id,article_key,article_version_label,group,student_id,order,category,n_questions
G3a_3,29802,Ours,0.8333333333333334,0.8333333333333334,0.0,0.8333333333333334,29802,news_0,news_0a,G3a,3,6,Humans,6
G3a_3,29846,Baseline,0.8,0.6666666666666666,0.16666666666666666,0.8333333333333334,29846,news_2,news_2b,G3a,3,7,Nature,6
G3a_3,29866,Ours,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,29866,news_0,news_0a,G3a,3,8,Nature,6
G3a_3,29873,Ours,0.5,0.5,0.0,0.5,29873,news_0,news_0a,G3a,3,9,Humans,6
G3a_3,29902,Ours,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,29902,news_0,news_0a,G3a,3,10,Nature,6
G3a_3,29929,Ours,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,29929,news_0,news_0a,G3a,3,11,Physics,6
G3a_3,29943,Baseline,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,29943,news_2,news_2b,G3a,3,12,Tech,6
G3a_3,29958,Baseline,0.5,0.5,0.0,0.5,29958,news_2,news_2b,G3a,3,13,Physics,6
G3a_3,29988,Baseline,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,29988,news_2,news_2b,G3a,3,14,Humans,6
G3a_3,30052,Ours,1.0,1.0,0.0,1.0,30052,news_0,news_0a,G3a,3,15,Physics,6
G3a_3,30061,Baseline,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,30061,news_2,news_2b,G3a,3,16,Physics,6
G3a_3,30086,Ours,0.5,0.5,0.0,0.5,30086,news_0,news_0a,G3a,3,17,Space,6
G3a_3,30184,Ours,0.8333333333333334,0.8333333333333334,0.0,0.8333333333333334,30184,news_0,news_0a,G3a,3,18,Tech,6
G3a_3,30214,Baseline,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,30214,news_2,news_2b,G3a,3,19,Space,6
G3a_3,30708,Baseline,0.19999999999999998,0.16666666666666666,0.16666666666666666,0.3333333333333333,30708,news_2,news_2b,G3a,3,20,Tech,6
G3a_4,29733,Baseline,1.0,1.0,0.0,1.0,29733,news_2,news_2b,G3a,4,1,Health,6
G3a_4,29734,Baseline,1.0,1.0,0.0,1.0,29734,news_2,news_2b,G3a,4,2,Space,6
G3a_4,29739,Ours,1.0,0.16666666666666666,0.8333333333333334,1.0,29739,news_0,news_0a,G3a,4,3,Health,6
G3a_4,29753,Baseline,1.0,0.6666666666666666,0.3333333333333333,1.0,29753,news_2,news_2b,G3a,4,4,Health,6
G3a_4,29775,Ours,1.0,0.3333333333333333,0.6666666666666666,1.0,29775,news_0,news_0a,G3a,4,5,Tech,6
G3a_4,29802,Ours,1.0,0.16666666666666666,0.8333333333333334,1.0,29802,news_0,news_0a,G3a,4,6,Humans,6
G3a_4,29846,Baseline,0.8,0.6666666666666666,0.16666666666666666,0.8333333333333334,29846,news_2,news_2b,G3a,4,7,Nature,6
G3a_4,29866,Ours,1.0,1.0,0.0,1.0,29866,news_0,news_0a,G3a,4,8,Nature,6
G3a_4,29873,Ours,1.0,1.0,0.0,1.0,29873,news_0,news_0a,G3a,4,9,Humans,6
G3a_4,29902,Ours,1.0,1.0,0.0,1.0,29902,news_0,news_0a,G3a,4,10,Nature,6
G3a_4,29929,Ours,1.0,1.0,0.0,1.0,29929,news_0,news_0a,G3a,4,11,Physics,6
G3a_4,29943,Baseline,1.0,0.6666666666666666,0.3333333333333333,1.0,29943,news_2,news_2b,G3a,4,12,Tech,6
G3a_4,29958,Baseline,1.0,0.8333333333333334,0.16666666666666666,1.0,29958,news_2,news_2b,G3a,4,13,Physics,6
G3a_4,29988,Baseline,1.0,0.3333333333333333,0.6666666666666666,1.0,29988,news_2,news_2b,G3a,4,14,Humans,6
G3a_4,30052,Ours,1.0,0.5,0.5,1.0,30052,news_0,news_0a,G3a,4,15,Physics,6
G3a_4,30061,Baseline,1.0,0.8333333333333334,0.16666666666666666,1.0,30061,news_2,news_2b,G3a,4,16,Physics,6
G3a_4,30086,Ours,1.0,0.16666666666666666,0.8333333333333334,1.0,30086,news_0,news_0a,G3a,4,17,Space,6
G3a_4,30184,Ours,1.0,0.16666666666666666,0.8333333333333334,1.0,30184,news_0,news_0a,G3a,4,18,Tech,6
G3a_4,30708,Baseline,0.5000000000000001,0.16666666666666666,0.6666666666666666,0.8333333333333334,30708,news_2,news_2b,G3a,4,20,Tech,6
G3a_5,29733,Baseline,0.8,0.6666666666666666,0.16666666666666666,0.8333333333333334,29733,news_2,news_2b,G3a,5,1,Health,6
G3a_5,29734,Baseline,0.7499999999999999,0.5,0.3333333333333333,0.8333333333333334,29734,news_2,news_2b,G3a,5,2,Space,6
G3a_5,29739,Ours,0.6,0.5,0.16666666666666666,0.6666666666666666,29739,news_0,news_0a,G3a,5,3,Health,6
G3a_5,29753,Baseline,0.25,0.16666666666666666,0.3333333333333333,0.5,29753,news_2,news_2b,G3a,5,4,Health,6
G3a_5,29775,Ours,0.25,0.16666666666666666,0.3333333333333333,0.5,29775,news_0,news_0a,G3a,5,5,Tech,6
G3a_5,29802,Ours,0.49999999999999994,0.3333333333333333,0.3333333333333333,0.6666666666666666,29802,news_0,news_0a,G3a,5,6,Humans,6
G3a_5,29846,Baseline,0.8,0.6666666666666666,0.16666666666666666,0.8333333333333334,29846,news_2,news_2b,G3a,5,7,Nature,6
G3a_5,29866,Ours,0.5000000000000001,0.16666666666666666,0.6666666666666666,0.8333333333333334,29866,news_0,news_0a,G3a,5,8,Nature,6
G3a_5,29873,Ours,0.49999999999999994,0.3333333333333333,0.3333333333333333,0.6666666666666666,29873,news_0,news_0a,G3a,5,9,Humans,6
G3a_5,29902,Ours,0.6666666666666667,0.3333333333333333,0.5,0.8333333333333334,29902,news_0,news_0a,G3a,5,10,Nature,6
G3a_5,29929,Ours,0.33333333333333326,0.16666666666666666,0.5,0.6666666666666666,29929,news_0,news_0a,G3a,5,11,Physics,6
G3a_5,29943,Baseline,0.5000000000000001,0.16666666666666666,0.6666666666666666,0.8333333333333334,29943,news_2,news_2b,G3a,5,12,Tech,6
