article_id,category,kgain_mean_news_0,kgain_mean_news_2,normalized_gain_mean_news_0,normalized_gain_mean_news_2,post_acc_mean_news_0,post_acc_mean_news_2,pre_acc_mean_news_0,pre_acc_mean_news_2,kgain_diff_news_0_minus_news_2,post_acc_diff_news_0_minus_news_2
29733,Health,0.3333333333333333,0.375,0.8027777777777777,0.7730769230769231,0.9166666666666667,0.9166666666666667,0.5833333333333333,0.5416666666666666,-0.041666666666666685,0.0
29734,Space,0.5,0.4270833333333333,0.6788888888888889,0.78125,0.8541666666666667,0.8958333333333334,0.3541666666666667,0.46874999999999994,0.07291666666666669,-0.04166666666666663
29739,Health,0.28125,0.3645833333333333,0.7076923076923076,0.8071428571428572,0.8958333333333333,0.8958333333333333,0.6145833333333334,0.53125,-0.08333333333333331,0.0
29753,Health,0.48958333333333326,0.41666666666666663,0.6937500000000001,0.66875,0.84375,0.8333333333333334,0.35416666666666663,0.41666666666666663,0.07291666666666663,0.01041666666666663
29775,Tech,0.21875,0.27083333333333337,0.8863636363636364,0.79,0.9375,0.9375,0.71875,0.6666666666666666,-0.05208333333333337,0.0
29802,Humans,0.34375,0.4166666666666667,0.8794871794871795,0.546153846153846,0.9270833333333334,0.8958333333333333,0.5833333333333333,0.47916666666666663,-0.07291666666666669,0.03125000000000011
29846,Nature,0.23958333333333334,0.40625,0.3895833333333334,0.6354166666666667,0.7395833333333334,0.8020833333333334,0.49999999999999994,0.39583333333333326,-0.16666666666666666,-0.0625
29866,Nature,0.5520833333333334,0.46875,0.8466666666666668,0.75,0.8854166666666667,0.8125,0.3333333333333333,0.34375,0.08333333333333337,0.07291666666666674
29873,Humans,0.5520833333333334,0.5208333333333333,0.7916666666666667,0.6708333333333334,0.8333333333333333,0.78125,0.28125,0.26041666666666663,0.03125000000000011,0.05208333333333326
29902,Nature,0.5520833333333333,0.5729166666666666,0.7822222222222223,0.730952380952381,0.8333333333333333,0.8125,0.28124999999999994,0.23958333333333331,-0.02083333333333337,0.02083333333333326
29929,Physics,0.5520833333333333,0.5729166666666666,0.8135416666666666,0.6583333333333334,0.875,0.7604166666666667,0.32291666666666663,0.1875,-0.02083333333333337,0.11458333333333326
29943,Tech,0.5625,0.46875000000000006,0.8095238095238095,0.7125,0.875,0.875,0.31249999999999994,0.40625,0.09374999999999994,0.0
29958,Physics,0.5520833333333334,0.5208333333333333,0.8435897435897436,0.9111111111111111,0.8645833333333334,0.9375,0.3125,0.41666666666666663,0.03125000000000011,-0.07291666666666663
29988,Humans,0.5416666666666667,0.35416666666666663,0.6722222222222222,0.6770833333333333,0.8645833333333333,0.8020833333333333,0.32291666666666663,0.44791666666666663,0.1875000000000001,0.0625
30052,Physics,0.46875,0.65625,0.8777777777777779,0.7444444444444444,0.9166666666666667,0.84375,0.44791666666666663,0.1875,-0.1875,0.07291666666666674
30061,Physics,0.6145833333333334,0.46875,0.780952380952381,0.7822222222222223,0.8958333333333334,0.84375,0.28125,0.37499999999999994,0.14583333333333337,0.05208333333333337
30086,Space,0.4375,0.5520833333333333,0.7927083333333333,0.6104166666666666,0.8333333333333334,0.8229166666666667,0.3958333333333333,0.27083333333333337,-0.11458333333333326,0.01041666666666663
30184,Tech,0.5,0.6145833333333333,0.9555555555555556,0.9038461538461539,0.9791666666666667,0.9375,0.47916666666666674,0.3229166666666667,-0.11458333333333326,0.04166666666666674
30214,Space,0.5625,0.3125,0.7977777777777779,0.6595238095238096,0.8958333333333334,0.8333333333333333,0.33333333333333337,0.5208333333333333,0.25,0.06250000000000011
30708,Tech,0.29166666666666663,0.15625,0.8333333333333334,0.6115384615384616,0.9583333333333334,0.8645833333333334,0.6666666666666666,0.7083333333333333,0.13541666666666663,0.09375
