annotator_id,media,file,batch,qs_id,phase,q_in_set,question_text,answer_option,source_file,correct_option,is_correct
2,news,a1,1,8,post,5,2,3.0,a1.csv,2.0,False
2,news,a1,1,8,post,6,2,4.0,a1.csv,1.0,False
2,news,a1,1,9,pre,1,1,2.0,a1.csv,1.0,False
2,news,a1,1,9,pre,2,1,1.0,a1.csv,2.0,False
2,news,a1,1,9,pre,3,5,2.0,a1.csv,2.0,True
2,news,a1,1,9,pre,4,5,1.0,a1.csv,2.0,False
2,news,a1,1,9,pre,5,2,1.0,a1.csv,2.0,False
2,news,a1,1,9,pre,6,1,1.0,a1.csv,1.0,True
2,news,a1,1,9,post,1,1,2.0,a1.csv,1.0,False
2,news,a1,1,9,post,2,1,2.0,a1.csv,2.0,True
2,news,a1,1,9,post,3,5,1.0,a1.csv,2.0,False
2,news,a1,1,9,post,4,2,4.0,a1.csv,2.0,False
2,news,a1,1,9,post,5,2,2.0,a1.csv,2.0,True
2,news,a1,1,9,post,6,1,4.0,a1.csv,1.0,False
2,news,a1,1,10,pre,1,3,1.0,a1.csv,1.0,True
2,news,a1,1,10,pre,2,3,1.0,a1.csv,1.0,True
2,news,a1,1,10,pre,3,2,2.0,a1.csv,2.0,True
2,news,a1,1,10,pre,4,5,4.0,a1.csv,2.0,False
2,news,a1,1,10,pre,5,5,1.0,a1.csv,2.0,False
2,news,a1,1,10,pre,6,5,1.0,a1.csv,1.0,True
2,news,a1,1,10,post,1,1,2.0,a1.csv,1.0,False
2,news,a1,1,10,post,2,3,2.0,a1.csv,1.0,False
2,news,a1,1,10,post,3,2,4.0,a1.csv,2.0,False
2,news,a1,1,10,post,4,2,2.0,a1.csv,2.0,True
2,news,a1,1,10,post,5,2,2.0,a1.csv,2.0,True
2,news,a1,1,10,post,6,4,1.0,a1.csv,1.0,True
2,news,a1,1,11,pre,1,3,1.0,a1.csv,1.0,True
2,news,a1,1,11,pre,2,3,1.0,a1.csv,2.0,False
2,news,a1,1,11,pre,3,5,5.0,a1.csv,3.0,False
2,news,a1,1,11,pre,4,1,2.0,a1.csv,2.0,True
2,news,a1,1,11,pre,5,5,2.0,a1.csv,3.0,False
2,news,a1,1,11,pre,6,6,2.0,a1.csv,3.0,False
2,news,a1,1,11,post,1,1,1.0,a1.csv,1.0,True
2,news,a1,1,11,post,2,1,1.0,a1.csv,2.0,False
2,news,a1,1,11,post,3,2,2.0,a1.csv,3.0,False
