variant,global_kl,item_kl,kg_corr,correct_mae,idk_mae,human_correct,model_correct,human_incorrect,model_incorrect,human_idk,model_idk,n_units,n_docs,predictions_path
Direct answer,4.952608059119941,5.0994345641825625,-0.06279500224240314,0.611190476190476,0.25354497354497374,0.35201149425287354,0.9158045977011494,0.40718390804597704,0.08419540229885057,0.24080459770114943,0.0,540,90,runs/llmsim_ablation/00_direct_answer/predictions.jsonl
+ Persona mixture,4.897260001743343,4.974921197573416,-0.04399604012650614,0.6008619929453258,0.25354497354497374,0.35201149425287354,0.9022988505747126,0.40718390804597704,0.09770114942528736,0.24080459770114943,0.0,540,90,runs/llmsim_ablation/01_persona_mixture/predictions.jsonl
+ Memory bottleneck,4.613083821243637,4.183112966355639,0.06460741935346798,0.5256525573192241,0.25354497354497374,0.35201149425287354,0.7764367816091954,0.40718390804597704,0.2235632183908046,0.24080459770114943,0.0,540,90,runs/llmsim_ablation/02_memory_bottleneck/predictions.jsonl
+ IDK option,0.3806526023047576,3.6525121229030924,0.27156740185447964,0.39516313932980573,0.3057385361552031,0.35201149425287354,0.5290229885057471,0.40718390804597704,0.08505747126436781,0.24080459770114943,0.38591954022988506,540,90,runs/llmsim_ablation/03_idk_option/predictions.jsonl
+ Verbalized sampling,0.023048212095984635,1.9343209603670288,0.2629808755850882,0.3291313932980597,0.2701234567901236,0.35201149425287354,0.3824712643678161,0.40718390804597704,0.30977011494252876,0.24080459770114943,0.30775862068965515,540,90,runs/llmsim_ablation/04_verbalized_sampling/predictions.jsonl
Full LLMSim,0.024646657620799095,2.043005103863621,0.2627196781649043,0.3325044091710755,0.2824691358024694,0.35201149425287354,0.39080459770114945,0.40718390804597704,0.3048850574712644,0.24080459770114943,0.30431034482758623,540,90,runs/llmsim_ablation/05_full_llmsim/predictions.jsonl
