metric,baseline_mean,ours_mean,diff,wilcoxon_p,n_topics
Pre,0.409375,0.4239583333333333,0.014583333333333346,0.6140824364524813,20
Post,0.8552083333333332,0.88125,0.026041666666666685,0.031107400410534492,20
KGain,0.4458333333333333,0.4572916666666667,0.011458333333333341,0.6675773143481063,20
NormKGain,0.7212297771672772,0.7818040639915641,0.060574286824286824,0.04844093322753906,20
