article-id,content-type,model-name,runs,pre_acc_mean,post_acc_mean,kg_mean,kg_std,pre_parse_ok_rate,post_parse_ok_rate,pre_idk_rate_mean,post_idk_rate_mean,pre_conf_mean,post_conf_mean,P_KG_-6,P_KG_-5,P_KG_-4,P_KG_-3,P_KG_-2,P_KG_-1,P_KG_0,P_KG_1,P_KG_2,P_KG_3,P_KG_4,P_KG_5,P_KG_6,Q_KG_-6,Q_KG_-5,Q_KG_-4,Q_KG_-3,Q_KG_-2,Q_KG_-1,Q_KG_0,Q_KG_1,Q_KG_2,Q_KG_3,Q_KG_4,Q_KG_5,Q_KG_6,P_total,Q_total,DKL_P_Q
ftakhZTmzG5w1YRTI3Nu,abstract,meta-llama/Llama-3.1-8B-Instruct,10,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,6,10,12.485835393598958
ftakhZTmzG5w1YRTI3Nu,news,meta-llama/Llama-3.1-8B-Instruct,10,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0,0,0,0,0,0,1,2,1,1,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,6,10,12.254786333412307
ftakhZTmzG5w1YRTI3Nu,tweet,meta-llama/Llama-3.1-8B-Instruct,10,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0,0,0,0,0,2,1,2,0,1,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,7,10,8.318395781239136
lC7QpWOOoq9wpVsU7bpZ,abstract,meta-llama/Llama-3.1-8B-Instruct,10,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0,0,0,0,0,0,1,1,1,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,6,10,12.573043417559717
lC7QpWOOoq9wpVsU7bpZ,news,meta-llama/Llama-3.1-8B-Instruct,10,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,10,0,0,0,0,0,0,6,10,12.716884453785605
lC7QpWOOoq9wpVsU7bpZ,tweet,meta-llama/Llama-3.1-8B-Instruct,10,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0,0,0,0,1,2,3,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,7,10,8.5911875676512
v0YVYceNRELkSRiYJfMa,abstract,meta-llama/Llama-3.1-8B-Instruct,10,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0,0,0,0,0,1,0,1,2,0,0,2,0,0,0,0,0,0,10,0,0,0,0,0,0,6,10,10.183264116115469
yiUuBIh24LNT5UKjzI83,abstract,meta-llama/Llama-3.1-8B-Instruct,10,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,10,0,0,0,0,0,0,6,10,12.485835393598956
yiUuBIh24LNT5UKjzI83,news,meta-llama/Llama-3.1-8B-Instruct,10,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,10,0,0,0,0,0,0,6,10,12.485835393598956
yiUuBIh24LNT5UKjzI83,tweet,meta-llama/Llama-3.1-8B-Instruct,10,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0,0,0,0,0,2,3,1,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,7,10,8.591187567651199
